id,cliente_noPasaporte,vuelos_numVuelo
1,09-489-3413,1
2,39-031-7739,2
3,35-648-4309,3
4,03-744-5504,4
5,93-851-3608,5
6,69-867-6561,6
7,75-760-0782,7
8,30-102-4565,8
9,96-327-4747,9
10,18-824-0580,10
11,45-565-6630,11
12,77-687-7204,12
13,05-913-7755,13
14,41-133-8809,14
15,80-038-9358,15
16,81-778-6017,16
17,23-512-0882,17
18,90-031-9152,18
19,70-559-9866,19
20,12-733-9304,20
21,55-266-1220,21
22,70-274-3271,22
23,02-757-1142,23
24,77-074-5435,24
25,55-138-2559,25
26,94-225-6458,26
27,69-109-5368,27
28,07-744-1422,28
29,36-895-4428,29
30,83-196-1023,30
31,67-997-4470,31
32,50-304-0385,32
33,37-152-6293,33
34,66-875-6770,34
35,15-307-7647,35
36,27-035-9943,36
37,27-099-7826,37
38,43-840-6648,38
39,42-912-4432,39
40,61-530-4836,40
41,51-182-2277,41
42,56-932-6296,42
43,85-642-4859,43
44,64-626-1585,44
45,87-685-4110,45
46,84-447-8204,46
47,67-832-7090,47
48,67-418-3149,48
49,85-016-2551,49
50,84-874-6942,50
51,51-593-2447,51
52,80-260-4015,52
53,71-707-0324,53
54,12-126-8953,54
55,89-045-3969,55
56,68-998-1083,56
57,84-935-1167,57
58,08-178-7490,58
59,22-372-2276,59
60,61-443-4417,60
61,87-008-0556,61
62,16-418-7197,62
63,97-600-4297,63
64,23-887-7769,64
65,41-486-2089,65
66,22-378-8622,66
67,87-908-6904,67
68,24-290-6304,68
69,32-564-1363,69
70,41-602-3352,70
71,20-401-1607,71
72,86-137-9832,72
73,67-422-6911,73
74,75-795-7204,74
75,65-121-6105,75
76,08-592-4876,76
77,29-206-8677,77
78,05-766-4439,78
79,30-450-0001,79
80,54-807-2545,80
81,57-520-0935,81
82,62-609-5896,82
83,10-221-3088,83
84,25-086-9363,84
85,02-853-0568,85
86,39-401-9520,86
87,21-428-6217,87
88,74-595-0621,88
89,36-256-6080,89
90,25-420-4580,90
91,58-473-0518,91
92,95-756-1019,92
93,39-700-6683,93
94,00-336-9969,94
95,31-876-5193,95
96,22-332-5145,96
97,76-895-3769,97
98,82-751-6075,98
99,00-616-0552,99
100,90-718-6514,100
101,06-150-3550,101
102,45-561-7318,102
103,10-264-0755,103
104,09-561-9819,104
105,34-541-2650,105
106,24-651-3094,106
107,46-926-7309,107
108,77-996-5289,108
109,75-833-4472,109
110,84-807-8260,110
111,39-123-3183,111
112,71-363-1177,112
113,44-714-8216,113
114,58-915-0923,114
115,13-985-0046,115
116,25-185-1418,116
117,33-598-9185,117
118,31-968-6226,118
119,67-764-8432,119
120,22-935-4681,120
121,76-032-5068,121
122,95-400-2676,122
123,14-512-7276,123
124,46-942-9658,124
125,68-514-4090,125
126,72-762-4825,126
127,02-522-5142,127
128,61-879-4125,128
129,81-723-3787,129
130,77-676-1809,130
131,00-765-2279,131
132,15-722-8127,132
133,62-491-4108,133
134,39-868-1458,134
135,94-182-7131,135
136,05-850-4226,136
137,99-190-9933,137
138,71-950-6255,138
139,74-039-0134,139
140,33-325-5951,140
141,01-605-9730,141
142,89-085-3776,142
143,16-146-0539,143
144,57-206-0359,144
145,89-954-1184,145
146,12-494-0557,146
147,68-645-6921,147
148,58-748-2273,148
149,26-592-3250,149
150,14-134-3637,150
151,01-525-1250,151
152,28-927-3380,152
153,47-047-4777,153
154,59-588-8667,154
155,63-556-0276,155
156,54-255-2621,156
157,77-933-6985,157
158,20-183-4629,158
159,95-010-9337,159
160,76-611-9514,160
161,15-978-1978,161
162,79-759-6280,162
163,69-628-2336,163
164,62-770-9422,164
165,01-285-5143,165
166,12-591-7545,166
167,46-444-2436,167
168,97-802-7128,168
169,90-253-1296,169
170,92-227-7147,170
171,84-275-5344,171
172,78-940-2411,172
173,44-349-8108,173
174,76-196-0798,174
175,51-696-1818,175
176,19-936-8810,176
177,84-112-7655,177
178,37-643-6088,178
179,97-716-1927,179
180,30-624-1502,180
181,42-248-0594,181
182,48-623-9377,182
183,05-636-5590,183
184,85-774-7719,184
185,51-473-9603,185
186,02-316-3254,186
187,99-968-1507,187
188,43-470-4821,188
189,93-114-8683,189
190,33-824-6078,190
191,78-802-7131,191
192,77-661-5023,192
193,24-225-9633,193
